,out-degree-weight,in-degree-weight,out-degree,in-degree,bot,bc,lcc,ac
67.195.168.31,0.0,414.0,0.0,69.0,0,0.0,0.0,4.414276870249913e-05
221.130.69.202,0.0,60.0,0.0,5.0,0,0.0,0.0,6.807420890263766e-06
82.227.106.170,0.0,8.0,0.0,2.0,0,0.0,0.0,1.323132511065352e-06
212.117.171.138,0.0,26311.0,0.0,319.0,0,0.0,0.0,0.0027754238486275254
187.106.81.34,0.0,7.0,0.0,2.0,0,0.0,0.0,1.2176654268499977e-06
195.113.232.98,0.0,62.0,0.0,1.0,0,0.0,0.0,0.00013051072275812732
95.211.58.97,0.0,850.0,0.0,4.0,0,0.0,0.0,9.012641742039352e-05
60.199.114.56,0.0,112.0,0.0,1.0,0,0.0,0.0,1.2291709269462181e-05
77.79.4.96,0.0,116.0,0.0,1.0,0,0.0,0.0,1.2713577606323597e-05
218.201.21.157,0.0,8.0,0.0,2.0,0,0.0,0.0,1.323132511065352e-06
173.192.170.88,0.0,8331.0,0.0,265.0,0,0.0,0.0,0.0008791256744354577
173.236.81.226,0.0,170.0,0.0,12.0,0,0.0,0.0,1.840880015395272e-05
61.17.216.82,0.0,3.0,0.0,1.0,0,0.0,0.0,7.957970899885811e-07
184.154.132.106,0.0,27820.0,0.0,5.0,0,0.0,0.0,0.002934573678708494
69.175.10.98,0.0,181.0,0.0,12.0,0,0.0,0.0,1.9568938080321616e-05
218.248.255.243,0.0,13.0,0.0,3.0,0,0.0,0.0,1.8504679321421224e-06
208.73.210.29,0.0,2543.0,0.0,28.0,0,0.0,0.0,0.00026868219099698804
74.125.232.217,0.0,154.0,0.0,4.0,0,0.0,0.0,0.00012176654268499979
94.127.76.180,0.0,399.0,0.0,15.0,0,0.0,0.0,4.256076243926882e-05
50.22.198.84,0.0,491.0,0.0,30.0,0,0.0,0.0,5.2263734187081394e-05
67.214.158.5,0.0,622.0,0.0,31.0,0,0.0,0.0,6.607992221929278e-05
195.113.232.83,0.0,380.0,0.0,20.0,0,0.0,0.0,4.055688783917708e-05
68.67.185.212,0.0,56.0,0.0,3.0,0,0.0,0.0,6.38555255340235e-06
217.163.21.38,0.0,21.0,0.0,1.0,0,0.0,0.0,1.871561348985193e-05
94.245.121.179,0.0,16.0,0.0,1.0,0,0.0,0.0,2.1668691847881853e-06
190.151.53.33,0.0,4.0,0.0,1.0,0,0.0,0.0,9.012641742039355e-07
117.224.216.244,0.0,8.0,0.0,1.0,0,0.0,0.0,1.323132511065352e-06
64.12.175.136,0.0,1060.0,0.0,18.0,0,0.0,0.0,0.00011227450510561787
61.17.216.23,0.0,8.0,0.0,2.0,0,0.0,0.0,1.323132511065352e-06
190.107.110.169,0.0,8.0,0.0,2.0,0,0.0,0.0,1.323132511065352e-06
125.99.28.64,0.0,8.0,0.0,2.0,0,0.0,0.0,1.323132511065352e-06
61.17.216.4,0.0,80.0,0.0,4.0,0,0.0,0.0,8.916762574570848e-06
190.53.151.16,0.0,4.0,0.0,1.0,0,0.0,0.0,9.012641742039355e-07
98.126.71.122,0.0,868.0,0.0,37.0,0,0.0,0.0,9.20248249362699e-05
195.113.232.88,0.0,60.0,0.0,2.0,0,0.0,0.0,9.391364453539944e-05
41.251.251.106,0.0,24.0,0.0,2.0,0,0.0,0.0,3.0106058585110183e-06
208.81.160.62,0.0,9.0,0.0,2.0,0,0.0,0.0,1.4285995952807057e-06
178.122.247.101,0.0,5.0,0.0,1.0,0,0.0,0.0,1.0067312584192895e-06
205.188.103.1,0.0,1290.0,0.0,215.0,0,0.0,0.0,0.00013653193447514932
115.98.214.212,0.0,8.0,0.0,2.0,0,0.0,0.0,1.323132511065352e-06
180.241.97.224,0.0,7.0,0.0,2.0,0,0.0,0.0,1.2176654268499977e-06
190.77.235.75,0.0,5.0,0.0,1.0,0,0.0,0.0,1.0067312584192895e-06
200.29.244.194,0.0,5.0,0.0,1.0,0,0.0,0.0,1.0067312584192895e-06
205.188.186.137,0.0,1029.0,0.0,12.0,0,0.0,0.0,0.0001090050254949419
186.92.63.171,0.0,8.0,0.0,2.0,0,0.0,0.0,1.323132511065352e-06
101.0.32.121,0.0,13.0,0.0,3.0,0,0.0,0.0,1.8504679321421224e-06
211.157.110.34,0.0,12.0,0.0,1.0,0,0.0,0.0,1.7450008479267686e-06
66.94.238.147,0.0,326.0,0.0,67.0,0,0.0,0.0,3.486166529154796e-05
64.12.90.97,0.0,319.0,0.0,65.0,0,0.0,0.0,3.4123395702040475e-05
65.55.92.168,0.0,115.0,0.0,23.0,0,0.0,0.0,1.2608110522108242e-05
218.93.203.210,0.0,3.0,0.0,1.0,0,0.0,0.0,7.957970899885811e-07
74.125.113.27,0.0,576.0,0.0,116.0,0,0.0,0.0,6.122843634538648e-05
98.139.54.60,0.0,1050.0,0.0,175.0,0,0.0,0.0,0.00011121983426346433
207.115.20.21,0.0,42.0,0.0,7.0,0,0.0,0.0,4.909013374387392e-06
65.54.188.72,0.0,295.0,0.0,59.0,0,0.0,0.0,3.159218568087198e-05
205.188.190.2,0.0,273.0,0.0,55.0,0,0.0,0.0,2.9271909828134193e-05
65.55.88.22,0.0,193.0,0.0,39.0,0,0.0,0.0,2.0834543090905862e-05
178.125.252.68,0.0,28.0,0.0,4.0,0,0.0,0.0,3.4324741953724343e-06
205.188.156.193,0.0,538.0,0.0,90.0,0,0.0,0.0,5.722068714520304e-05
65.54.188.94,0.0,180.0,0.0,30.0,0,0.0,0.0,1.9463470996106256e-05
209.86.93.229,0.0,8.0,0.0,2.0,0,0.0,0.0,1.323132511065352e-06
207.115.21.24,0.0,34.0,0.0,6.0,0,0.0,0.0,4.06527670066456e-06
205.188.59.193,0.0,340.0,0.0,57.0,0,0.0,0.0,3.633820447056292e-05
65.54.188.126,0.0,156.0,0.0,26.0,0,0.0,0.0,1.6932260974937763e-05
117.196.25.55,0.0,18.0,0.0,5.0,0,0.0,0.0,2.377803353218893e-06
64.12.90.33,0.0,532.0,0.0,89.0,0,0.0,0.0,5.658788463991091e-05
64.12.168.40,0.0,1143.0,0.0,15.0,0,0.0,0.0,0.00012102827309549229
216.228.2.128,0.0,4.0,0.0,1.0,0,0.0,0.0,9.012641742039355e-07
79.136.165.190,0.0,8.0,0.0,2.0,0,0.0,0.0,1.323132511065352e-06
74.125.67.27,0.0,156.0,0.0,26.0,0,0.0,0.0,1.693226097493776e-05
184.106.213.57,0.0,13.0,0.0,1.0,0,0.0,0.0,1.8504679321421224e-06
69.84.129.233,0.0,12.0,0.0,2.0,0,0.0,0.0,1.7450008479267686e-06
61.178.56.36,0.0,10.0,0.0,3.0,0,0.0,0.0,1.53406667949606e-06
178.123.29.226,0.0,4.0,0.0,1.0,0,0.0,0.0,9.012641742039355e-07
65.55.92.152,0.0,180.0,0.0,30.0,0,0.0,0.0,1.946347099610626e-05
113.255.129.49,0.0,4.0,0.0,1.0,0,0.0,0.0,9.012641742039355e-07
168.95.5.68,0.0,6.0,0.0,1.0,0,0.0,0.0,1.1121983426346437e-06
183.83.68.80,0.0,17.0,0.0,4.0,0,0.0,0.0,2.272336269003539e-06
207.115.37.21,0.0,63.0,0.0,13.0,0,0.0,0.0,7.12382214290983e-06
61.150.114.216,0.0,60.0,0.0,3.0,0,0.0,0.0,6.807420890263766e-06
64.15.138.19,0.0,6.0,0.0,1.0,0,0.0,0.0,1.1121983426346437e-06
114.58.187.40,0.0,9.0,0.0,1.0,0,0.0,0.0,1.4285995952807057e-06
98.129.185.3,0.0,24.0,0.0,4.0,0,0.0,0.0,3.0106058585110183e-06
65.55.37.72,0.0,128.0,0.0,32.0,0,0.0,0.0,1.3979182616907845e-05
168.187.75.100,0.0,13.0,0.0,3.0,0,0.0,0.0,1.8504679321421224e-06
80.67.18.126,0.0,18.0,0.0,3.0,0,0.0,0.0,2.3778033532188933e-06
208.65.144.13,0.0,50.0,0.0,10.0,0,0.0,0.0,5.752750048110225e-06
209.191.88.254,0.0,216.0,0.0,36.0,0,0.0,0.0,2.3260286027859012e-05
42.201.161.145,0.0,9.0,0.0,2.0,0,0.0,0.0,1.428599595280706e-06
203.188.197.119,0.0,168.0,0.0,28.0,0,0.0,0.0,1.819786598552201e-05
209.86.93.226,0.0,18.0,0.0,3.0,0,0.0,0.0,2.3778033532188933e-06
66.94.237.64,0.0,1314.0,0.0,219.0,0,0.0,0.0,0.0001390631444963178
98.137.54.238,0.0,186.0,0.0,31.0,0,0.0,0.0,2.0096273501398384e-05
65.55.92.184,0.0,126.0,0.0,21.0,0,0.0,0.0,1.376824844847714e-05
62.24.74.140,0.0,8.0,0.0,1.0,0,0.0,0.0,1.323132511065352e-06
98.137.34.115,0.0,18.0,0.0,3.0,0,0.0,0.0,2.377803353218893e-06
65.55.92.136,0.0,114.0,0.0,19.0,0,0.0,0.0,1.2502643437892888e-05
198.17.145.13,0.0,6.0,0.0,1.0,0,0.0,0.0,1.1121983426346437e-06
216.221.81.26,0.0,10.0,0.0,2.0,0,0.0,0.0,1.53406667949606e-06
182.177.235.90,0.0,4.0,0.0,1.0,0,0.0,0.0,9.012641742039355e-07
114.59.51.188,0.0,14.0,0.0,3.0,0,0.0,0.0,1.9559350163574764e-06
212.227.15.186,0.0,18.0,0.0,3.0,0,0.0,0.0,2.3778033532188933e-06
24.113.32.75,0.0,8.0,0.0,2.0,0,0.0,0.0,1.323132511065352e-06
74.125.93.27,0.0,114.0,0.0,19.0,0,0.0,0.0,1.2502643437892888e-05
204.127.217.16,0.0,84.0,0.0,14.0,0,0.0,0.0,9.338630911432265e-06
209.85.225.27,0.0,5769.0,0.0,959.0,0,0.0,0.0,0.0006089190046757204
74.125.159.27,0.0,36.0,0.0,6.0,0,0.0,0.0,4.276210869095267e-06
209.127.193.138,0.0,36.0,0.0,3.0,0,0.0,0.0,4.276210869095267e-06
218.57.210.214,0.0,8.0,0.0,2.0,0,0.0,0.0,1.323132511065352e-06
205.188.190.1,0.0,1512.0,0.0,252.0,0,0.0,0.0,0.00015994562717095795
207.69.189.220,0.0,18.0,0.0,3.0,0,0.0,0.0,2.3778033532188933e-06
95.111.235.248,0.0,12.0,0.0,1.0,0,0.0,0.0,1.7450008479267686e-06
74.125.244.10,0.0,6.0,0.0,1.0,0,0.0,0.0,1.1121983426346437e-06
41.223.57.74,0.0,4.0,0.0,1.0,0,0.0,0.0,9.012641742039355e-07
199.239.254.18,0.0,24.0,0.0,4.0,0,0.0,0.0,3.0106058585110183e-06
116.111.222.15,0.0,13.0,0.0,3.0,0,0.0,0.0,1.8504679321421224e-06
66.97.46.122,0.0,18.0,0.0,3.0,0,0.0,0.0,2.377803353218893e-06
206.46.232.11,0.0,144.0,0.0,24.0,0,0.0,0.0,1.566665596435351e-05
58.42.247.143,0.0,24.0,0.0,2.0,0,0.0,0.0,3.0106058585110174e-06
212.27.48.7,0.0,24.0,0.0,4.0,0,0.0,0.0,3.0106058585110183e-06
59.99.153.96,0.0,12.0,0.0,3.0,0,0.0,0.0,1.7450008479267686e-06
65.54.188.110,0.0,174.0,0.0,29.0,0,0.0,0.0,1.8830668490814134e-05
213.246.53.125,0.0,35118.0,0.0,8.0,0,0.0,0.0,0.0037042724593121484
216.32.181.178,0.0,222.0,0.0,37.0,0,0.0,0.0,2.3893088533151137e-05
64.136.52.37,0.0,66.0,0.0,11.0,0,0.0,0.0,7.440223395555891e-06
77.123.72.98,0.0,9.0,0.0,2.0,0,0.0,0.0,1.428599595280706e-06
167.127.98.30,0.0,12.0,0.0,2.0,0,0.0,0.0,1.7450008479267686e-06
165.21.74.122,0.0,18.0,0.0,3.0,0,0.0,0.0,2.3778033532188933e-06
117.204.65.177,0.0,4.0,0.0,1.0,0,0.0,0.0,9.012641742039355e-07
220.143.177.200,0.0,3.0,0.0,1.0,0,0.0,0.0,7.957970899885813e-07
79.113.190.202,0.0,15.0,0.0,3.0,0,0.0,0.0,2.0614021005728305e-06
165.21.74.121,0.0,30.0,0.0,5.0,0,0.0,0.0,3.643408363803142e-06
195.110.124.132,0.0,27.0,0.0,4.0,0,0.0,0.0,3.3270071111570803e-06
221.208.241.38,0.0,4.0,0.0,1.0,0,0.0,0.0,9.012641742039355e-07
205.178.149.7,0.0,66.0,0.0,11.0,0,0.0,0.0,7.440223395555891e-06
209.240.204.25,0.0,18.0,0.0,3.0,0,0.0,0.0,2.3778033532188933e-06
86.126.237.212,0.0,17.0,0.0,2.0,0,0.0,0.0,2.2723362690035393e-06
213.111.249.148,0.0,21.0,0.0,4.0,0,0.0,0.0,2.6942046058649554e-06
61.17.216.84,0.0,4.0,0.0,1.0,0,0.0,0.0,9.012641742039355e-07
99.236.68.164,0.0,13.0,0.0,3.0,0,0.0,0.0,1.8504679321421224e-06
205.188.186.167,0.0,1004.0,0.0,11.0,0,0.0,0.0,0.00010636834838955806
117.198.86.115,0.0,20.0,0.0,2.0,0,0.0,0.0,2.5887375216496014e-06
119.154.131.100,0.0,26.0,0.0,3.0,0,0.0,0.0,3.221540026941726e-06
76.96.62.116,0.0,162.0,0.0,27.0,0,0.0,0.0,1.7565063480229884e-05
14.97.39.52,0.0,4.0,0.0,1.0,0,0.0,0.0,9.012641742039355e-07
199.255.211.81,0.0,8.0,0.0,2.0,0,0.0,0.0,1.323132511065352e-06
98.139.175.224,0.0,1230.0,0.0,205.0,0,0.0,0.0,0.00013020390942222808
81.169.145.102,0.0,6.0,0.0,1.0,0,0.0,0.0,1.1121983426346435e-06
59.94.194.59,0.0,5.0,0.0,1.0,0,0.0,0.0,1.0067312584192895e-06
200.91.27.32,0.0,12.0,0.0,2.0,0,0.0,0.0,1.7450008479267682e-06
79.113.153.241,0.0,4.0,0.0,1.0,0,0.0,0.0,9.012641742039355e-07
67.195.168.230,0.0,540.0,0.0,90.0,0,0.0,0.0,5.743162131363374e-05
78.227.180.250,0.0,3.0,0.0,1.0,0,0.0,0.0,7.957970899885813e-07
98.139.175.225,0.0,114.0,0.0,19.0,0,0.0,0.0,1.250264343789289e-05
64.12.139.193,0.0,1253.0,0.0,209.0,0,0.0,0.0,0.00013262965235918124
201.65.242.60,0.0,7.0,0.0,2.0,0,0.0,0.0,1.2176654268499977e-06
64.12.90.65,0.0,966.0,0.0,161.0,0,0.0,0.0,0.0001023605991893746
77.238.177.9,0.0,222.0,0.0,37.0,0,0.0,0.0,2.3893088533151137e-05
95.59.69.146,0.0,36.0,0.0,3.0,0,0.0,0.0,4.276210869095268e-06
119.154.24.194,0.0,24.0,0.0,2.0,0,0.0,0.0,3.0106058585110183e-06
85.115.60.190,0.0,6.0,0.0,1.0,0,0.0,0.0,1.1121983426346437e-06
109.200.240.44,0.0,3.0,0.0,1.0,0,0.0,0.0,7.957970899885813e-07
109.200.239.148,0.0,9.0,0.0,2.0,0,0.0,0.0,1.4285995952807057e-06
150.186.92.225,0.0,12.0,0.0,1.0,0,0.0,0.0,1.7450008479267686e-06
84.25.41.150,0.0,10.0,0.0,2.0,0,0.0,0.0,1.53406667949606e-06
65.55.196.251,0.0,8499.0,0.0,25.0,0,0.0,0.0,0.0008968441445836371
118.96.124.137,0.0,12.0,0.0,1.0,0,0.0,0.0,1.7450008479267686e-06
65.55.37.104,0.0,96.0,0.0,16.0,0,0.0,0.0,1.0604235922016517e-05
68.67.185.216,0.0,68.0,0.0,4.0,0,0.0,0.0,7.6511575639866e-06
71.74.56.243,0.0,78.0,0.0,13.0,0,0.0,0.0,8.70582840614014e-06
217.163.21.41,0.0,64.0,0.0,3.0,0,0.0,0.0,7.229289227125183e-06
207.115.36.20,0.0,54.0,0.0,9.0,0,0.0,0.0,6.1746183849716416e-06
117.224.242.30,0.0,4.0,0.0,1.0,0,0.0,0.0,9.012641742039355e-07
212.82.111.207,0.0,36.0,0.0,6.0,0,0.0,0.0,4.276210869095268e-06
178.122.240.223,0.0,7.0,0.0,1.0,0,0.0,0.0,1.2176654268499977e-06
66.196.94.104,0.0,42.0,0.0,7.0,0,0.0,0.0,4.909013374387392e-06
82.103.123.207,0.0,10.0,0.0,2.0,0,0.0,0.0,1.53406667949606e-06
95.58.159.249,0.0,10.0,0.0,2.0,0,0.0,0.0,1.53406667949606e-06
68.41.173.2,0.0,5.0,0.0,1.0,0,0.0,0.0,1.0067312584192895e-06
192.33.4.12,0.0,352.0,0.0,88.0,0,0.0,0.0,3.760380948114717e-05
128.8.10.90,0.0,340.0,0.0,85.0,0,0.0,0.0,3.633820447056292e-05
128.63.2.53,0.0,352.0,0.0,88.0,0,0.0,0.0,3.760380948114717e-05
202.12.27.33,0.0,380.0,0.0,95.0,0,0.0,0.0,4.055688783917708e-05
198.41.0.4,0.0,296.0,0.0,74.0,0,0.0,0.0,3.1697652765087336e-05
192.41.162.30,0.0,508.0,0.0,127.0,0,0.0,0.0,5.405667461874242e-05
81.91.164.5,0.0,44.0,0.0,11.0,0,0.0,0.0,5.1199475428181e-06
192.31.80.30,0.0,464.0,0.0,116.0,0,0.0,0.0,4.9416122913266834e-05
192.35.51.30,0.0,456.0,0.0,114.0,0,0.0,0.0,4.8572386239544e-05
192.52.178.30,0.0,360.0,0.0,90.0,0,0.0,0.0,3.844754615487e-05
213.199.159.59,0.0,4.0,0.0,1.0,0,0.0,0.0,9.012641742039355e-07
64.12.51.132,0.0,8.0,0.0,2.0,0,0.0,0.0,1.323132511065352e-06
68.180.131.16,0.0,8.0,0.0,2.0,0,0.0,0.0,1.323132511065352e-06
64.4.59.173,0.0,8.0,0.0,2.0,0,0.0,0.0,1.323132511065352e-06
68.142.196.63,0.0,8.0,0.0,2.0,0,0.0,0.0,1.323132511065352e-06
119.160.247.124,0.0,24.0,0.0,6.0,0,0.0,0.0,3.0106058585110183e-06
121.101.152.99,0.0,12.0,0.0,3.0,0,0.0,0.0,1.7450008479267686e-06
68.142.255.16,0.0,12.0,0.0,3.0,0,0.0,0.0,1.7450008479267686e-06
65.55.226.140,0.0,4.0,0.0,1.0,0,0.0,0.0,9.012641742039355e-07
216.239.38.10,0.0,368.0,0.0,92.0,0,0.0,0.0,3.9291282828592835e-05
59.48.7.168,0.0,24.0,0.0,2.0,0,0.0,0.0,3.0106058585110183e-06
78.129.227.128,0.0,5500.0,0.0,4.0,0,0.0,0.0,0.0005805483590217901
78.129.163.119,0.0,4842.0,0.0,4.0,0,0.0,0.0,0.0005111510176080872
65.55.37.88,0.0,192.0,0.0,32.0,0,0.0,0.0,2.072907600669051e-05
74.208.5.21,0.0,12.0,0.0,2.0,0,0.0,0.0,1.7450008479267686e-06
74.125.39.27,0.0,177.0,0.0,24.0,0,0.0,0.0,1.9147069743460195e-05
174.36.246.56,0.0,1291.0,0.0,31.0,0,0.0,0.0,0.00013663740155936467
195.113.232.82,0.0,154.0,0.0,9.0,0,0.0,0.0,0.00017254414977631936
89.200.164.105,0.0,9.0,0.0,2.0,0,0.0,0.0,1.428599595280706e-06
195.3.86.220,0.0,6.0,0.0,1.0,0,0.0,0.0,1.1121983426346437e-06
195.113.232.89,0.0,16.0,0.0,1.0,0,0.0,0.0,0.00018073223067812966
218.200.225.22,0.0,9.0,0.0,2.0,0,0.0,0.0,1.4285995952807057e-06
186.202.4.42,0.0,12.0,0.0,2.0,0,0.0,0.0,1.7450008479267682e-06
193.74.71.108,0.0,12.0,0.0,2.0,0,0.0,0.0,1.7450008479267686e-06
122.218.153.19,0.0,9.0,0.0,2.0,0,0.0,0.0,1.428599595280706e-06
64.136.44.37,0.0,48.0,0.0,8.0,0,0.0,0.0,5.5418158796795175e-06
212.117.174.7,0.0,5181.0,0.0,826.0,0,0.0,0.0,0.0005469043591570923
74.125.127.27,0.0,297.0,0.0,45.0,0,0.0,0.0,3.1803119849302697e-05
72.4.117.21,0.0,42.0,0.0,7.0,0,0.0,0.0,4.909013374387392e-06
210.211.186.4,0.0,5.0,0.0,1.0,0,0.0,0.0,1.0067312584192895e-06
69.16.175.10,0.0,32.0,0.0,2.0,0,0.0,0.0,3.854342532233852e-06
212.50.215.90,0.0,6.0,0.0,1.0,0,0.0,0.0,1.1121983426346437e-06
68.67.185.207,0.0,14.0,0.0,1.0,0,0.0,0.0,4.5254967045133825e-06
64.12.90.1,0.0,654.0,0.0,109.0,0,0.0,0.0,6.945486891418412e-05
68.67.179.211,0.0,16.0,0.0,1.0,0,0.0,0.0,2.1668691847881853e-06
61.17.216.20,0.0,4.0,0.0,1.0,0,0.0,0.0,9.012641742039355e-07
178.165.97.227,0.0,36.0,0.0,3.0,0,0.0,0.0,4.276210869095267e-06
217.72.192.149,0.0,210.0,0.0,35.0,0,0.0,0.0,2.2627483522566887e-05
209.85.143.27,0.0,2076.0,0.0,346.0,0,0.0,0.0,0.00021942906266841767
41.93.130.4,0.0,4.0,0.0,1.0,0,0.0,0.0,9.012641742039355e-07
61.177.120.254,0.0,28.0,0.0,2.0,0,0.0,0.0,3.432474195372434e-06
119.178.199.146,0.0,7.0,0.0,2.0,0,0.0,0.0,1.2176654268499977e-06
80.12.242.142,0.0,6.0,0.0,1.0,0,0.0,0.0,1.1121983426346437e-06
88.250.200.14,0.0,13.0,0.0,1.0,0,0.0,0.0,1.8504679321421224e-06
161.58.16.34,0.0,42.0,0.0,7.0,0,0.0,0.0,4.909013374387392e-06
64.12.90.98,0.0,432.0,0.0,72.0,0,0.0,0.0,4.6041176218375505e-05
68.142.202.129,0.0,18.0,0.0,3.0,0,0.0,0.0,2.3778033532188933e-06
119.154.129.1,0.0,10.0,0.0,2.0,0,0.0,0.0,1.53406667949606e-06
76.96.30.116,0.0,60.0,0.0,10.0,0,0.0,0.0,6.807420890263765e-06
210.212.249.136,0.0,12.0,0.0,3.0,0,0.0,0.0,1.7450008479267686e-06
94.245.120.86,0.0,126.0,0.0,21.0,0,0.0,0.0,1.376824844847714e-05
190.204.173.239,0.0,5.0,0.0,1.0,0,0.0,0.0,1.0067312584192895e-06
111.88.1.3,0.0,2.0,0.0,1.0,0,0.0,0.0,6.903300057732271e-07
207.115.37.23,0.0,222.0,0.0,37.0,0,0.0,0.0,2.3893088533151137e-05
68.67.185.218,0.0,52.0,0.0,3.0,0,0.0,0.0,5.963684216540933e-06
119.154.75.69,0.0,5.0,0.0,1.0,0,0.0,0.0,1.0067312584192895e-06
61.17.216.7,0.0,4.0,0.0,1.0,0,0.0,0.0,9.012641742039355e-07
217.34.4.225,0.0,14.0,0.0,1.0,0,0.0,0.0,1.955935016357476e-06
207.115.36.22,0.0,210.0,0.0,35.0,0,0.0,0.0,2.2627483522566887e-05
125.114.134.15,0.0,8.0,0.0,2.0,0,0.0,0.0,1.323132511065352e-06
65.55.16.187,0.0,2181.0,0.0,12.0,0,0.0,0.0,0.00023050310651102985
77.238.175.247,0.0,162.0,0.0,9.0,0,0.0,0.0,1.756506348022988e-05
68.67.185.205,0.0,40.0,0.0,2.0,0,0.0,0.0,4.698079205956684e-06
209.86.93.227,0.0,6.0,0.0,1.0,0,0.0,0.0,1.1121983426346437e-06
64.236.79.229,0.0,348.0,0.0,20.0,0,0.0,0.0,3.718194114428575e-05
77.238.167.32,0.0,192.0,0.0,12.0,0,0.0,0.0,2.0729076006690512e-05
64.18.5.10,0.0,12.0,0.0,2.0,0,0.0,0.0,1.7450008479267686e-06
204.127.217.21,0.0,48.0,0.0,8.0,0,0.0,0.0,5.5418158796795175e-06
207.115.21.20,0.0,108.0,0.0,18.0,0,0.0,0.0,1.1869840932600765e-05
216.32.180.22,0.0,156.0,0.0,26.0,0,0.0,0.0,1.693226097493776e-05
195.70.198.9,0.0,15.0,0.0,4.0,0,0.0,0.0,2.0614021005728305e-06
216.69.186.201,0.0,12.0,0.0,2.0,0,0.0,0.0,1.7450008479267686e-06
24.71.223.11,0.0,12.0,0.0,2.0,0,0.0,0.0,1.7450008479267686e-06
205.188.159.42,0.0,414.0,0.0,69.0,0,0.0,0.0,4.414276870249913e-05
202.86.18.246,0.0,5.0,0.0,1.0,0,0.0,0.0,1.0067312584192895e-06
